Year,Date,AAuthors,Me,CoAuthors,Title,Jounal,others,category,imgpath,href,abstract,pdf,citation,code,type,featured
2020,2020-09,You QS| Wang J| ,Guo Y,| Pi S| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS.,Optical coherence tomography angiography avascular area association with 1-year treatment requirement and disease progression in diabetic retinopathy.,American journal of ophthalmology,. 2020 Sep 1;217:268-77.,Clinical,assets/img/paperimgs/NPA_in_1_year_treatment.jpg,https://doi.org/10.1016/j.ajo.2020.04.024,To assess the association between optical coherence tomography angiography (OCTA)quantified avascular areas (AAs) and diabetic retinopathy (DR) severity| progression| and treatment requirement in the following year.,https://doi.org/10.1016/j.ajo.2020.04.024,You QSS| Wang J| Guo Y| Pi S| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS. Optical coherence tomography angiography avascular area association with 1-year treatment requirement and disease progression in diabetic retinopathy. American journal of ophthalmology. 2020 Sep 1;217:268-77.,#,paper,0
2020,2020-07,Gao M| ,Guo Y,| Hormel TT| Sun J| Hwang TS| Jia Y.,Reconstruction of high-resolution 6x6-mm OCT angiograms using deep learning.,Biomedical Optics Express,. 2020 Jul 1;11(7):3585-600.,Algorithm,https://www.researchgate.net/profile/Min_Gao20/publication/342053130/figure/fig8/AS:900631913066499@1591738789176/HARNet-performance-on-eyes-with-DR-Top-row-original-66-mm-superficial-vascular-complex_W640.jpg,https://doi.org/10.1364/BOE.394301,Typical optical coherence tomographic angiography (OCTA) acquisition areas on commercial devices are 3x3- or 6x6-mm. Compared to 3x3-mm angiograms with proper sampling density| 6x6-mm angiograms have significantly lower scan quality| with reduced signal-to-noise ratio and worse shadow artifacts due to undersampling. Here| we propose a deep-learning-based high-resolution angiogram reconstruction network (HARNet) to generate enhanced 6x6-mm superficial vascular complex (SVC) angiograms. The network was trained on data from 3x3-mm and 6x6-mm angiograms from the same eyes. The reconstructed 6x6-mm angiograms have significantly lower noise intensity and better vascular connectivity than the original images. The algorithm did not generate false flow signal at the noise level presented by the original angiograms. The image enhancement produced by our algorithm may improve biomarker measurements and qualitative clinical assessment of 6x6-mm OCTA.,https://www.researchgate.net/publication/342053130_Reconstruction_of_high-resolution_66-mm_OCT_angiograms_using_deep_learning,Gao M| Guo Y| Hormel TT| Sun J| Hwang TS| Jia Y. Reconstruction of high-resolution 6? 6-mm OCT angiograms using deep learning. Biomedical Optics Express. 2020 Jul 1;11(7):3585-600.,#,paper,0
2020,2020-05,You QS| ,Guo Y,| Wang J| Wei X| Camino A| Zang P| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS.,Detection of clinically unsuspected retinal neovascularization with wide-field optical coherence tomography angiography.,Retina,. 2020 May 1;40(5):891-7.,Clinical,https://www.researchgate.net/profile/Yali_Jia/publication/331707663/figure/fig1/AS:910868376215552@1594179352942/The-prototype-WF-OCTA-A-shows-a-frond-of-NV-arrow-on-the-inferotemporal-arcade_W640.jpg,https://journals.lww.com/retinajournal/Fulltext/2020/05000/DETECTION_OF_CLINICALLY_UNSUSPECTED_RETINAL.13.aspx?casa_token=KZr7dMjRbSsAAAAA:o9NA1p62mo4mepQ6aRqj28iWVvDS-cFxXahiNevRfoChAhkFeo_Mk5E55rSLd6pDlGxQUPZrvUp8AQ4uvBjMyPFg,To evaluate wide-field optical coherence tomography angiography (OCTA) for detection of clinically unsuspected neovascularization (NV) in diabetic retinopathy (DR).,https://www.researchgate.net/publication/331707663_DETECTION_OF_CLINICALLY_UNSUSPECTED_RETINAL_NEOVASCULARIZATION_WITH_WIDE-FIELD_OPTICAL_COHERENCE_TOMOGRAPHY_ANGIOGRAPHY?uploadChannel=invalid,You QSS| Guo Y| Wang J| Wei X| Camino A| Zang P| Flaxel CJ| Bailey ST| Huang D| Jia Y| Hwang TS. Detection of clinically unsuspected retinal neovascularization with wide-field optical coherence tomography angiography. Retina. 2020 May 1;40(5):891-7.,#,paper,0
2020,2020-05,Camino A| Ng R| Huang J| ,Guo Y,| Ni S| Jia Y| Huang D| Jian Y,Depth-resolved optimization of a real-time sensorless adaptive optics optical coherence tomography.,Optics letters,. 2020 May 1;45(9):2612-5.,Hardware,assets/img/paperimgs/deep_resolved_AO_OCTA.jpg,https://doi.org/10.1364/OL.390134,,https://doi.org/10.1364/OL.390134,Camino A| Ng R| Huang J| Guo Y| Ni S| Jia Y| Huang D| Jian Y. Depth-resolved optimization of a real-time sensorless adaptive optics optical coherence tomography. Optics letters. 2020 May 1;45(9):2612-5.,#,paper,0
2020,2020-02,Wang J| Hormel TT| Gao L| Zang P| ,Guo Y,| Wang X| Bailey ST| Jia Y.,Automated Diagnosis and Segmentation of Choroidal Neovascularization in OCT Angiography using Deep Learning.,Biomedical Optics Express,. 2020 Feb 1;11(2):927-44.,Biomarker,http://imagebank.osa.org/getImage.xqy?img=cCF6ekAubGFyZ2UsYm9lLTExLTItOTI3LWcwMTA,https://doi.org/10.1364/BOE.379977,Accurate identification and segmentation of choroidal neovascularization (CNV) is essential for the diagnosis and management of exudative age-related macular degeneration (AMD). Projection-resolved optical coherence tomographic angiography (PR-OCTA) enables both cross-sectional and en face visualization of CNV. However| CNV identification and segmentation remains difficult even with PR-OCTA due to the presence of residual artifacts. In this paper| a fully automated CNV diagnosis and segmentation algorithm using convolutional neural networks (CNNs) is described. This study used a clinical dataset| including both scans with and without CNV| and scans of eyes with different pathologies. Furthermore| no scans were excluded due to image quality. In testing| all CNV cases were diagnosed from non-CNV controls with 100% sensitivity and 95% specificity. The mean intersection over union of CNV membrane segmentation was as high as 0.88. By enabling fully automated categorization and segmentation| the proposed algorithm should offer benefits for CNV diagnosis| visualization monitoring.,https://doi.org/10.1364/BOE.379977,Wang J| Hormel TT| Gao L| Zang P| Guo Y| Wang X| Bailey ST| Jia Y. Automated diagnosis and segmentation of choroidal neovascularization in OCT angiography using deep learning. Biomedical Optics Express. 2020 Feb 1;11(2):927-44.,#,paper,0
2020,2020-01,You QS| Wang J| ,Guo Y,| Flaxel CJ| Hwang TS| Huang D| Jia Y| Bailey ST.,Detection of reduced retinal vessel density in eyes with geographic atrophy secondary to age-related macular degeneration using projection-resolved optical coherence tomography angiography.,American Journal of Ophthalmology,. 2020 Jan 1;209:206-12.,Clinical,https://ars.els-cdn.com/content/image/1-s2.0-S0002939419304611-gr1.jpg,https://doi.org/10.1016/j.ajo.2019.09.004,To compare retinal vessel density in eyes with geographic atrophy (GA) secondary to age-related macular degeneration (AMD) to age-matched healthy eyes by using projection-resolved optical coherence tomography angiography (PR-OCTA).,https://doi.org/10.1016/j.ajo.2019.09.004,You QSS| Wang J| Guo Y| Flaxel CJ| Hwang TS| Huang D| Jia Y| Bailey ST. Detection of Reduced Retinal Vessel Density in Eyes with Geographic Atrophy Secondary to Age-Related Macular Degeneration Using Projection-Resolved Optical Coherence Tomography Angiography. American journal of ophthalmology. 2020 Jan 1;209:206-12.,#,paper,0
2020,2020-01,Wang J| Hormel TT| You QS| ,Guo Y,| Wang X| Chen L| Hwang TS| Jia Y.,Robust non-perfusion area detection in three retinal plexuses using convolutional neural network in OCT angiography.,Biomedical Optics Express,. 2020 Jan 1;11(1):330-45.,Biomarker,http://imagebank.osa.org/getImage.xqy?img=QC5sYXJnZSxib2UtMTEtMS0zMzAtZzAwMw,https://doi.org/10.1364/BOE.11.000330,Non-perfusion area (NPA) is a quantitative biomarker useful for characterizing ischemia in diabetic retinopathy (DR). Projection-resolved optical coherence tomographic angiography (PR-OCTA) allows visualization of retinal capillaries and quantify NPA in individual plexuses. However| poor scan quality can make current NPA detection algorithms unreliable and inaccurate. In this work| we present a robust NPA detection algorithm using convolutional neural network (CNN). By merging information from OCT angiograms and OCT reflectance images| the CNN could exclude signal reduction and motion artifacts and detect the avascular features from local to global with the resolution preserved. Across a wide range of signal strength indices| and on both healthy and DR eyes| the algorithm achieved high accuracy and repeatability.,https://doi.org/10.1364/BOE.11.000330,Wang J| Hormel TT| You QS| Guo Y| Wang X| Chen L| Hwang TS| Jia Y. Robust non-perfusion area detection in three retinal plexuses using convolutional neural network in OCT angiography. Biomedical Optics Express. 2020 Jan 1;11(1):330-45.,#,paper,0
2020,2020-01,NaN,Guo Y,| Hormel TT| Xiong H| Wang J| Hwang TS| Jia Y.,Automated segmentation of retinal fluid volumes from structural and angiographic optical coherence tomography using deep learning.,Translational vision science & technology,. 2020 Jan 28;9(2):54-.,Biomarker,https://www.researchgate.net/profile/Yukun-Guo-4/publication/346148875/figure/fig9/AS:1027873771098114@1622075612578/Local-dynamics-of-retinal-fluid-in-longitudinal-monitoring-of-a-DME-eye-A-Baseline_W640.jpg,https://doi.org/10.1167/tvst.9.2.54,Purpose: We proposed a deep convolutional neural network (CNN)| named Retinal Fluid Segmentation Network (ReF-Net)| to segment retinal fluid in diabetic macular edema (DME) in optical coherence tomography (OCT) volumes.,https://www.researchgate.net/publication/346148875_Automated_Segmentation_of_Retinal_Fluid_Volumes_From_Structural_and_Angiographic_Optical_Coherence_Tomography_Using_Deep_Learning,Guo Y| Hormel TT| Xiong H| Wang J| Hwang TS| Jia Y. Automated segmentation of retinal fluid volumes from structural and angiographic optical coherence tomography using deep learning. Translational vision science & technology. 2020 Jan 28;9(2):54-.,#,paper,3
2019,2019-12,Wei X| Hormel TT| ,Guo Y,| Jia Y.,75-degree non-mydriatic single-volume optical coherence tomographic angiography.,Biomedical Optics Express,. 2019 Dec 1;10(12):6286-95.,Algorithm,http://imagebank.osa.org/getImage.xqy?img=LmxhcmdlLGJvZS0xMC0xMi02Mjg2LWcwMDc,https://doi.org/10.1364/BOE.10.006286,Optical coherence tomography (OCT) and OCT angiography (OCTA) enable three-dimensional| high-resolution imaging of the eye. Yet| while they provide unprecedented structural and angiographic imaging detail| both have only limited fields of view in comparison to other imaging modalities like fundus photography. In this paper| we present a high-speed| high-sensitivity| swept source laser-based system that can acquire non-mydriatic 75-degree field of view OCT and OCTA images in a single complete scan without resorting to montaging techniques. The system uses an optimized scanning protocol and achieves capillary-level image quality. Such data may improve early detection of pathology and provide valuable information during disease monitoring.,https://doi.org/10.1364/BOE.10.006286,Wei X| Hormel TT| Guo Y| Jia Y. 75-degree non-mydriatic single-volume optical coherence tomographic angiography. Biomedical Optics Express. 2019 Dec 1;10(12):6286-95.,#,paper,0
2019,2019-09,Camino  A| ,Guo Y,| You QS| Wang J| Huang D| Bailey ST| Jia Y.,Detecting and measuring areas of choriocapillaris low perfusion in intermediate| non-neovascular age-related macular degeneration.,Neurophotonics,. 2019 Sep;6(4):041108.,Biomarker,https://www.spiedigitallibrary.org/ContentImages/Journals/NEUROW/6/4/041108/WebImages/NPH_6_4_041108_f007.png,https://doi.org/10.1117/1.NPh.6.4.041108,Age-related macular degeneration (AMD) is a vision-threatening disease that affects the outer retina and choroid of elderly adults. Because photoreceptors are found in the outer retina and rely primarily on the trophic support of the underlying choriocapillaris| imaging of flow or lack thereof in choriocapillaris by optical coherence tomography angiography (OCTA) has great clinical potential in AMD assessment. We introduce a metric using OCTA| named ?focal perfusion loss? (FPL) to describe the effects of age and non-neovascular AMD on choriocapillaris flow. Because OCTA imaging of choriocapillaris is vulnerable to artifacts?namely motion| projections| segmentation errors| and shadows?they are removed by postprocessing software. The shadow detection software is a machine learning algorithm recently developed for the evaluation of the retinal circulation and here adapted for choriocapillaris analysis. It aims to exclude areas with unreliable flow signal due to blocking of the OCT beam by objects anterior to the choriocapillaris (e.g.| drusen| retinal vessels| vitreous floaters| and iris). We found that both the FPL and the capillary density were able to detect changes in the choriocapillaris of AMD and healthy age-matched subjects with respect to young controls. The dominant cause of shadowing in AMD is drusen| and the shadow exclusion algorithm helps determine which areas under drusen retain sufficient signal for perfusion evaluation and which areas must be excluded. Such analysis allowed us to determine unambiguously that choriocapillaris density under drusen is indeed reduced.,https://doi.org/10.1117/1.NPh.6.4.041108,Camino A| Guo Y| You QS| Wang J| Huang D| Bailey ST| Jia Y. Detecting and measuring areas of choriocapillaris low perfusion in intermediate| non-neovascular age-related macular degeneration. Neurophotonics. 2019 Sep;6(4):041108.,#,paper,0
2019,2019-07,NAN,Guo Y,| Hormel TT| Xiong H| Wang B| Camino A| Wang J| Huang D| Hwang TS| Jia Y.,Development and validation of a deep learning algorithm for distinguishing nonperfusion area from signal reduction artifacts on OCT angiography.,Biomedical Optics Express,. 2019 Jul 1;10(7):3257-68.,Biomarker,https://www.researchgate.net/profile/Yukun_Guo3/publication/333729775/figure/fig7/AS:786765266812929@1564590865254/Results-of-nonperfusion-area-detection-on-clinical-cases-A1-D1-signal-reduction_W640.jpg,https://doi.org/10.1364/BOE.10.003257,The capillary nonperfusion area (NPA) is a key quantifiable biomarker in the evaluation of diabetic retinopathy (DR) using optical coherence tomography angiography (OCTA). However| signal reduction artifacts caused by vitreous floaters| pupil vignetting| or defocus present significant obstacles to accurate quantification. We have developed a convolutional neural network| MEDnet-V2| to distinguish NPA from signal reduction artifacts in 6?6 mm2 OCTA. The network achieves strong specificity and sensitivity for NPA detection across a wide range of DR severity and scan quality.,https://www.researchgate.net/publication/333729775_Development_and_validation_of_a_deep_learning_algorithm_for_distinguishing_the_nonperfusion_area_from_signal_reduction_artifacts_on_OCT_angiography,Guo Y| Hormel TT| Xiong H| Wang B| Camino A| Wang J| Huang D| Hwang TS| Jia Y. Development and validation of a deep learning algorithm for distinguishing the nonperfusion area from signal reduction artifacts on oct angiography. Biomedical optics express. 2019 Jul 1;10(7):3257-68.,#,paper,0
2019,2019-07,Wei X| Hormel TT| Pi S| ,Guo Y,| Jian Y| Jia Y.,High dynamic range optical coherence tomography angiography (HDR-OCTA).,Biomedical Optics Express,. 2019 Jul 1;10(7):3560-71.,Algorithm,http://imagebank.osa.org/getImage.xqy?img=LmxhcmdlLGJvZS0xMC03LTM1NjAtZzAwMw,https://doi.org/10.1364/BOE.10.003560,The dynamic range of current optical coherence tomography (OCT) angiography (OCTA) images is limited by the fixed scanning intervals. High speed OCT devices introduce the possibility of extending the flow signal dynamic range. In this study| we created a novel scanning pattern for achieving high dynamic range (HDR)-OCTA with a superior scanning efficiency. We implemented a bidirectional| interleaved scanning pattern that is sensitive to different flow speeds by adjustable adjacent inter-scan time intervals. We found that an improved flow dynamic range can be achieved by generating 3 different B-scan time intervals using 3 repetitions.,https://doi.org/10.1364/BOE.10.003560,Wei X| Hormel TT| Pi S| Guo Y| Jian Y| Jia Y. High dynamic range optical coherence tomography angiography (HDR-OCTA). Biomedical optics express. 2019 Jul 1;10(7):3560-71.,#,paper,0
2019,2019-07,Wang B| Camino A| Pi S| ,Guo Y,| Wang J| Huang D| Hwang TS| Jia Y.,Three-dimensional structural and angiographic evaluation of foveal ischemia in diabetic retinopathy: method and validation.,Biomedical Optics Express,. 2019 Jul 1;10(7):3522-32.,Biomarker,http://imagebank.osa.org/getImage.xqy?img=cCF6ekAubGFyZ2UsYm9lLTEwLTctMzUyMi1nMDA0,https://doi.org/10.1364/BOE.10.003522,Optical coherence tomography angiography (OCTA) allows us to noninvasively investigate foveal ischemia| a key feature of diabetic retinopathy (DR). However| the sizes of the foveal avascular zone (FAZ) have a significant variation in normal population| preventing the objective assessment of pathological enlargement of FAZ due to capillary dropout. Based on the relationship between FAZ and ganglion cell complex (GCC) thickness in normal eyes| we defined a theoretical baseline FAZ (tbFAZ) on structural OCT and measured 2D and 3D vessel density in its vicinity on the simultaneously acquired OCTA in normal and diabetic eyes. We found that the structure-based tbFAZ was a reliable reference to identify foveal ischemia and that the 3D vessel density demonstrated ischemia more effectively than the 2D method. The proposed 3D para-FAZ vessel density correlates well with DR severity and potentially is a useful diagnostic biomarker| especially in the early stages of DR.,https://doi.org/10.1364/BOE.10.003522,Wang B| Camino A| Pi S| Guo Y| Wang J| Huang D| Hwang TS| Jia Y. Three-dimensional structural and angiographic evaluation of foveal ischemia in diabetic retinopathy: method and validation. Biomedical optics express. 2019 Jul 1;10(7):3522-32.,#,paper,0
